huitre, 408, p
lard, 24, g
kub or, 346, p
genoise, 672, p
beaufort, 415, g
panais, 625, p
pepite de chocolat, 602, g
pignon, 76, p
riz arborio, 345, g
volaille, 352, p
grondin, 684, p
petits pois, 302, g
tofu, 587, g
cantal, 191, p
ricotta, 98, g
farine de sarrasin, 590, g
piment despelette, 477, p
nougat, 277, g
rosette, 673, p
blanc d'oeuf, 194, p
penne, 298, p
creme liquide, 14, l
turbot, 582, p
celeri-rave, 457, p
pralin, 251, p
merlu, 583, p
chou rouge, 522, p
farine de mais, 424, p
oseille, 568, g
sirop d'agave, 657, p
jambon de parme, 83, p
tabasco, 139, p
chapelure, 50, p
millet, 630, g
noix de pecan, 566, p
cidre, 305, l
lievre, 682, p
boudoir, 212, p
chantilly, 232, p
pain rond, 731, p
muscade, 47, p
bolognaise, 12, l
jus de tomate, 279, l
pates, 104, p
peche, 274, p
citron confit, 327, p
pois casse, 665, g
sucre de coco, 712, p
cannelle, 56, p
reblochon, 164, p
yaourt, 94, p
margarine, 216, g
perles du japon, 628, g
vanille, 177, p
huile d'olive, 11, p
bonbons au caramel, 710, p
foie de volaille, 613, g
loup, 468, p
couteau, 290, p
beurre de cacahuetes, 600, g
filet de boeuf, 397, g
lait de coco, 176, l
sate, 402, p
cottage cheese, 661, g
salade, 102, p
nectarine, 278, p
sucre blond, 499, g
faux-filet, 577, p
roquefort, 106, g
coulis de framboises, 570, g
comte, 8, g
sumac, 609, p
piment vert, 514, p
moule, 120, p
artichaut, 296, p
puree, 71, g
melisse, 543, p
creme, 25, l
riz, 110, p
sirop, 236, p
bagel, 742, p
sandre, 534, p
caramel, 226, p
pate, 375, p
eau gazeuse, 596, l
colombo, 234, g
poudre a lever, 413, p
farine, 2, g
cochon, 637, p
langres, 542, p
oignon blanc, 360, p
cabillaud, 272, p
chipolata, 112, p
caille, 475, p
vermicelle, 215, p
carrelet, 513, p
wakame, 747, p
pomme, 80, p
filet mignon de porc, 253, p
oeuf, 18, p
safran, 275, p
poivron orange, 598, p
glace, 142, g
boudin, 386, p
fromage de brebis, 686, p
marsala, 563, l
chair a saucisse, 16, g
jambon, 43, p
raisins secs, 96, p
rapadura, 591, g
ciabatta, 483, p
chevre, 41, g
emmental, 308, g
linguine, 350, g
rutabaga, 645, p
cerfeuil, 202, p
riz a sushi, 650, g
bouillon de legumes, 117, l
goji, 658, p
cebette, 135, p
igname, 685, p
muffin, 586, p
chou-fleur, 368, p
filet de porc, 640, g
laurier, 31, p
sirop de rose, 698, l
airelle, 437, g
scampi, 233, g
viande de boeuf, 403, g
encornet, 556, g
quinoa, 356, p
pissenlit, 743, p
sucre roux, 159, p
vinaigre d'alcool blanc, 730, p
canneberge, 725, l
riz rond, 335, p
sauce chili, 439, p
champignon de paris, 323, p
saint-marcellin, 692, p
fruits secs, 473, p
tomate coeur de boeuf, 634, p
poivron jaune, 168, p
courge, 182, p
macaroni, 53, g
calisson, 719, p
pain complet, 529, p
os a moelle, 405, p
lieu, 454, p
poivron vert, 167, p
rascasse, 581, p
macaron, 545, p
cacao, 255, p
brousse, 342, g
patisson, 632, p
raviole, 478, p
lait, 72, p
